Kecamatan,Produksi Bawang Daun (kuintal) (Kw),Produksi Bawang Merah (kuintal) (Kw),Produksi Bawang Putih (kuintal) (Kw),Produksi Bayam (kuintal) (Kw),Produksi Blewah (kuintal) (Kw),Produksi Buncis (kuintal) (Kw),Produksi Cabai Besar (kuintal) (Kw),Produksi Cabai Rawit (kuintal) (Kw),Produksi Jamur (kilogram) (Kg),Produksi Kacang Merah (kuintal) (Kw),Produksi Kacang Panjang (kuintal) (Kw),Produksi Kangkung (kuintal) (Kw),Produksi Kembang Kol (kuintal) (Kw),Produksi Kentang (kuintal) (Kw),Produksi Ketimun (kuintal) (Kw),Produksi Kubis (kuintal) (Kw),Produksi Labu Siam (kuintal) (Kw),Produksi Lobak (kuintal) (Kw),Produksi Melon (kuintal) (Kw),Produksi Paprika (kuintal) (Kw),Produksi Petsai/Sawi (kuintal) (Kw),Produksi Semangka (kuintal) (Kw),Produksi Stroberi (kuintal) (Kw),Produksi Terung (kuintal) (Kw),Produksi Tomat (kuintal) (Kw),Produksi Wortel (kuintal) (Kw)
Ciemas,,120,,,,60,100,24041,,,50,,,,260,,,,,,,80,,,15,
Ciracap,,95,,,,,115,225,,,100,,,,355,,,,,,,970,,,120,
Waluran,80,,,,,230,172,2257,,80,790,100,,,150,,,,300,,,880,,110,649,
Surade,,1040,,,,,230,160,,,420,,,,530,,,,,,,1000,,490,115,
Cibitung,,340,,,100,290,270,276,,,150,,,,,,,,200,,,275,,200,,
Jampang Kulon,200,325,,,,,1510,1380,,,100,,,,1925,,,,,,,,,250,,
Cimanggu,400,,,,,350,1965,100,,,,,,,670,,,,,,,,,,,
Kali Bunder,,340,,,,150,392,290,,,100,,,,330,,,,,,,,,,170,
Tegal Buleud,,,,,,150,420,345,,,110,,,,330,,,,475,,,2000,,50,125,
Cidolog,,,,,,180,39735,2089,,,1006,,,,2764,,,,,,,,,120,,
Sagaranten,,,,,,3543,15700,11240,,,1355,,,,3350,,,,,,,,,620,1320,
Cidadap,,,,,,1320,62651,3905,,,1034,,,,2950,,,,,,,,,380,410,
Curugkembar,,,,,,269,1085,1198,,,,,,,282,,,,,,,,,,,
Pabuaran,,,,,,,1290,140,,,970,,,,2230,,,,,,,,,,,
Lengkong,,,,,,3500,4198,4045,,831,2830,,,,3580,,,,,,,,,3450,5015,
Palabuhanratu,,,,176,,,,385,,,440,220,,,40,,,,,,,,,,,
Simpenan,,1090,,,,,330,410,,,637,,,,440,,,,,,,,,240,650,
Warung Kiara,,,,,,,,200,,,230,,,,,,,,,,,,,490,,
Bantargadung,,,,,,,,218,,,,,,,,,,,,,,,,,,
Jampang Tengah,3000,,,,,6980,3664,4354,,3675,16170,,,,26156,,,,,,9330,,,5650,12780,
Purabaya,,,,,,6080,6938,5578,,3110,6065,,,,3961,,,,,,,,,1385,1716,
Cikembar,,,,,,1400,1480,805,,,300,,,,2725,,,,,,,,,40,2845,
Nyalindung,2928,,,,,2440,3146,2912,,1200,5173,,,,3350,,,,,,2150,,,1525,1783,
Geger Bitung,11850,200,,,,16805,26970,17880,,4305,25650,,11975,,20680,66730,15155,,,,56041,,,16900,61400,
Sukaraja,7721,,2629,,,14878,7850,3736,,,9022,5362,,,16351,20742,28965,,,,13189,,,17595,25404,7994
Kebonpedes,,,,,,,1300,1300,,,2600,,,,,,,,,,9100,,,2100,,
Cireunghas,,,,,,312,2052,380,,,400,,,,412,,,,,,430,,,590,490,
Sukalarang,2505,,120,,,5439,7762,3527,,,6287,,,200,7704,5705,2080,,,,10880,,,6495,11620,2860
Sukabumi,4110,,,,,5375,6100,4350,,,4990,,,400,6000,4250,,,,,6540,,,2930,5540,400
Kadudampit,9695,,,,,2140,4370,1160,,,,,,,2795,,3025,,,,27735,,,1795,6145,
Cisaat,,,,1270,,3450,1250,1700,,,4500,1255,,,5568,,,,,,9760,,,3000,4600,
Gunungguruh,,,,,,,200,510,,,1520,,,,440,,,,,,4940,,,30,510,
Cibadak,,,,,,839,656,535,,,809,,,,2145,,,,,,2800,,,1036,1962,
Cicantayan,,,,,,,400,880,,,,,,,1200,,,,,,,,,,,
Caringin,6048,,,50,,2416,6125,7015,,,210,,7321,,2430,,2450,,,,6150,,,2374,3866,12153
Nagrak,,,,,,913,118,102,,,841,,,,910,,,,,,10117,,,899,627,
Ciambar,,,,,,,700,,,,180,,,,,,,,,,,,,,,
Cicurug,,,,,,3650,755,1020,,,3970,,,,5930,200,,,,,1200,,,790,3100,
Cidahu,675,,,,,390,875,545,,,315,246,,,1070,1945,,,,,3240,,,925,1055,
Parakan Salak,,,,,,536,,300,,,1298,,,,2344,,,,,,3530,,,1475,554,
Parung Kuda,,,,,,2340,,,120000,,2600,,,,8400,,,,,,4000,,,,,
Bojong Genteng,,,,,,803,50,,,,1071,,,,3392,,,,,,3120,,,782,628,
Kalapa Nunggal,6370,,,,,5175,1770,1170,,,6250,,,,11460,,,,,,,,,2100,3640,
Cikidang,,,,,,,90,1135,,100,1260,,,,1420,,,,,,,,,,1415,
Cisolok,,,,,,,1065,87,,,,,,90,,,,,,,,,,,,
Cikakak,,,,,,,582,,,,469,,,,676,,,,,,,,,,,
Kabandungan,,,,,,537,310,25,,,1469,,,,4655,,,,,,3480,,,1123,1215,
Sukabumi,55582,3550,2749,1496,100,92940,216741,113910,120000,13301,113741,7183,19296,690,162360,99572,51675,,975,,187732,5205,,77939,161484,23407
