Kecamatan,Produksi Bawang Daun (kuintal) (Kw),Produksi Bawang Merah (kuintal) (Kw),Produksi Bawang Putih (kuintal) (Kw),Produksi Bayam (kuintal) (Kw),Produksi Buncis (kuintal) (Kw),Produksi Cabai Rawit (kuintal) (Kw),Produksi Kacang Panjang (kuintal) (Kw),Produksi Kangkung (kuintal) (Kw),Produksi Kembang Kol (kuintal) (Kw),Produksi Kentang (kuintal) (Kw),Produksi Ketimun (kuintal) (Kw),Produksi Kubis (kuintal) (Kw),Produksi Labu Siam (kuintal) (Kw),Produksi Melon (kuintal) (Kw),Produksi Paprika (kuintal) (Kw),Produksi Petsai/Sawi (kuintal) (Kw),Produksi Semangka (kuintal) (Kw),Produksi Stroberi (kuintal) (Kw),Produksi Terung (kuintal) (Kw),Produksi Tomat (kuintal) (Kw),Produksi Wortel (kuintal) (Kw),Produksi Cabai Besar/TW/Teropong (kuintal) (Kw),Produksi Cabai Keriting(kuintal) (Kw),Produksi Jamur Tiram (kuintal) (Kw),Produksi Jamur Merang (kuintal) (Kw),Produksi Jamur Lainnya (kuintal) (Kw)
Ciemas,,700,,,,16474,,,,,,,,,,,3200,,,,,,90,,,
Ciracap,,1720,,,20,285,380,,,,200,,,,,,,,100,100,,20,90,,,
Waluran,400,100,,150,220,1440,860,230,,,200,,,100,,,3550,,320,300,,200,620,,,
Surade,150,500,,,,813,860,,,,530,,,,,,,,100,100,,300,100,,,
Cibitung,,500,,,100,,220,50,,,,,,,,,,,180,,,,150,,,
Jampang Kulon,,700,,,,326.5,145,,,,755,,,,,,,,200,341,,,435,,,
Cimanggu,900,,,,1000,90,1000,,,,1000,,,,,,,,,,,1160,,,,
Kali Bunder,80,569,,,200,293,100,,,,1115,,,,,160,,,,,,175,1026,74.28,,
Tegal Buleud,,250,,,,660,200,,,,50,,,1050,,,1200,,,,,720,,,,
Cidolog,240,400,,,1385,4084,1696,450,,,10155,,,,,560,,,5735,1050,,7935,9770,,,
Sagaranten,200,300,,,7985,15885,4640,3750,,,8170,,880,,,1050,,,560,780,,3828,4975,,,
Cidadap,200,,,,2570,2620,2005,,,,4600,,395,,,750,,,470,430,,20320,43845,,,
Curugkembar,100,,,,2155,8180,1295,1150,,,4565,,,,,210,,,2225,750,,4470,1105,,,
Pabuaran,660,845,,,2780,9148,2165,2950,,,16185,,300,,,1200,,,4410,6460,,5170,13808,1843,,
Lengkong,,,,,3605,4450,3399,,,,5320,,,,,,,,5300,4200,,1060,5350,,,
Palabuhanratu,,265,,141,50,175,20,80,,,202,,,,,,,,,,,80,,690,,
Simpenan,,2511,,,,220,280,70,,,300,,,,,,116,,310,450,,,395,,,
Warung Kiara,,,,,160,200,580,,,,60,,,,,,,,531.5,,,100,,,,
Bantargadung,,,,,,100,,70,,,,,,,,,,,,,,,110,,,
Jampang Tengah,2655,,,,5790,2500,16910,,,,31320,,,,,12085,,,4908,6150,,2439,1717,,,
Purabaya,1435,,,,4383,1416,2295,,,,3138,,,,,300,,,1260,2025,,1495,3505,,,
Cikembar,,,,,50,250,420,,,,695,,,,,755,,,420,,,275,,5,,
Nyalindung,10529,,,,11370,,4890,,,,10015,,,,,15355,,,7500,7373,,,,,,
Geger Bitung,12050,,,,15090,15385,24181,,4965,,20225,46730,9430,,,74200,,,7022,35818,,17655,24340,,,
Sukaraja,6067,,,,1802,5439.8,1390,,9297,,3744,8021,8082,,,12778,,,4660,10653,12961,1439,7884,,,
Kebonpedes,,,,,,1100,2400,,,,,,,,,6600,,,,,,700,800,,,
Cireunghas,,,,,4230,3712,3470,,,,5140,,,,,2650,,,4505,4340,,2970,3420,,,
Sukalarang,4289,,,,6185,9660,6260,,,,5930,5440,2990,,,9310,,,7990,13290,4330,7570,11910,,,
Sukabumi,2900,1500,,,4550,5300,3800,,,,5050,2900,2400,,,3350,,,3700,5204,2600,4300,5500,,,
Kadudampit,14690,,,900,3582,1465,,,,,6060,1675,3615,,,48557,,,3190,5725,397,2105,4275,,,
Cisaat,,,,2622,3460,1590,4370,3640,,,4790,,,,,10600,,,3440,7000,,2370,1160,,,
Gunungguruh,,,,,,2026,1773,344,,,600,,,,,5115,,,,,,,,,,
Cibadak,,,,,277,503,320,,,,715,,,,,,,,245,2600,,317,210,,,
