Kecamatan,Produksi Bawang Daun (kuintal) (Kw),Produksi Bawang Merah (kuintal) (Kw),Produksi Bawang Putih (kuintal) (Kw),Produksi Bayam (kuintal) (Kw),Produksi Buncis (kuintal) (Kw),Produksi Cabai Rawit (kuintal) (Kw),Produksi Kacang Panjang (kuintal) (Kw),Produksi Kangkung (kuintal) (Kw),Produksi Kembang Kol (kuintal) (Kw),Produksi Kentang (kuintal) (Kw),Produksi Ketimun (kuintal) (Kw),Produksi Kubis (kuintal) (Kw),Produksi Labu Siam (kuintal) (Kw),Produksi Melon (kuintal) (Kw),Produksi Paprika (kuintal) (Kw),Produksi Petsai/Sawi (kuintal) (Kw),Produksi Semangka (kuintal) (Kw),Produksi Stroberi (kuintal) (Kw),Produksi Terung (kuintal) (Kw),Produksi Tomat (kuintal) (Kw),Produksi Wortel (kuintal) (Kw),Produksi Cabai Besar/TW/Teropong (kuintal) (Kw),Produksi Cabai Keriting(kuintal) (Kw),Produksi Jamur Tiram (kilogram) (Kg),Produksi Jamur Merang (kilogram) (Kg),Produksi Jamur Lainnya (kilogram) (Kg)
Ciemas,,,,,,10520,,,,,19,,,,,,,,35,,,,,,,
Ciracap,,,,,30,1191,104,,,,600,,,,,,,,810,864,,215,656,,,
Waluran,,,,,245,2092,205,55,,,618,,,,,,3000,,690,171,,170,242,,,
Surade,,270,,,,1247,528,,,,898,,,,,,,,151,338,,102,164,,,
Cibitung,9,585,,,100,200,,,,,,,,1000,,,,,,,,,250,,,
Jampang Kulon,125,294,,10,296,132,508,251,,,411,,,1,,50,,,25,215,,389,347,,,
Cimanggu,618,102,,,406,134,310,,,,607,,,,,,,,,406,,808,14,,,
Kali Bunder,,,,,,154,210,,,,52,,77,,,,,,,,,88,430,70,,
Tegal Buleud,,272,,,,798,,,,,80,,,1565,,,4090,,,100,,576,,,,
Cidolog,3,,,,505,5685,740,1570,,,2465,,,,,102,,,555,80,,630,11449,,,
Sagaranten,429,,,,5644,13099,3072,2352,,,6145,,455,,,1053,,,450,1530,,,5935,,,
Cidadap,279,,,,2345,770,2500,750,,,5080,,200,40,,603,,,1040,408,,,55605,2,,
Curugkembar,239,,,,1395,2390,3430,1620,,,3203,,1000,,,5,,,335,40,,155,4182,,,
Pabuaran,189,168,,,1605,4810,5240,1374,,,5865,,422,,,284,,,840,955,,1190,6730,120,,
Lengkong,,,,,2430,1700,2650,,,,2162,,,,,,,,1500,1861,,500,2900,5100,,
Palabuhanratu,,,,83,21,10,,,,,30,,,,,,,,2,2,,,19,295,,
Simpenan,,1106,,,,154,2,2,,,2,,,,,,150,,2,3,,285,2,50,,
Warung Kiara,,,,,162,73,465,,,,2,,,,,,,,260,,,35,113,,,
Bantargadung,,,,,1,247,129,138,,,410,,,,,,,,,,,,256,,,
Jampang Tengah,4995,,,,6540,3531,13230,,,,33380,,,,,15620,,,5700,10780,,3693,4408,,,
Purabaya,1145,,,,4261,5160,4134,,,,4003,,,,,,,,1361,3871,,5388,10126,,,
Cikembar,,,,,901,850,900,,,,1650,,,,,1600,,,1200,1551,,700,800,,,
Nyalindung,1056,,,,1328,1579,763,,,,1749,,,,,975,,,1280,595,,2118,2052,,,
Geger Bitung,11210,,,,25809,38717,27726,,3390,,26350,64385,10700,,,81660,,,3241,53962,,45056,46875,,,
Sukaraja,5384,,,,1471,7176,1641,,10150,,3361,6691,4598,,,13556,,,5218,10451,9789,1208,5564,,,
Kebonpedes,,,,,,1520,1900,,,,400,,,,,9870,,,330,360,,,440,,,
Cireunghas,,,,,1515,1286,1804,150,,,2450,2400,700,,,2750,,,2175,2700,1250,885,1694,,,
Sukalarang,2600,,,,6840,11530,8200,,,,7190,4020,3070,,,6096,,,6406,12019,3320,5950,12222,,,
Sukabumi,1842,,,,2319,4166,,,,,2970,3412,926,,,2216,,,2715,3075,1459,3662,4766,,,
Kadudampit,14727,102,,413,4789,1745,,,,200,4300,10504,1455,,,27818,,,1483,3459,3363,1891,3254,,,
Cisaat,,,,995,1610,330,2010,3430,,,3414,,,,,9300,,,970,2500,,880,1210,,,
Gunungguruh,,,,,,1622,1506,28,,,1470,,,,,992,,,,,,,887,,,
Cibadak,,,,,262,371,192,,,,263,,,,,,,,235,1200,,485,660,,,
Cicantayan,,,,,,840,,,,,590,,,,,,,,,,,1020,,,,
Caringin,24900,,,100,52450,35700,46700,,,,46910,29200,21825,,,34250,,,43550,60600,45000,25350,27050,,,
Nagrak,,,,,905,834,1624,,,,1187,,,,,1114,,,1288,1070,,780,941,,,
Ciambar,,,,,7006,2940,7412,,,,4647,,,,,,,,6117,4885,,424,1266,,,
Cicurug,,,,,2334,2126,2870,,,,2537,,,,,1914,,,1553,,,2334,,,,
Cidahu,6000,210,,,7000,2,5250,,,,8200,,,,,6800,,,2200,7200,,,400,1570,,
Parakan Salak,,,,,,,2445,,,,5177,,,,,3240,,,1446,743,,,,,,
Parung Kuda,,,,,,,2250,,,,4005,,,,,5800,,,,,,,,2830,,
Bojong Genteng,,,,,,,2828,,,,6038,,,,,3721,,,1184,564,,,,,,
Kalapa Nunggal,7150,220,,,3200,690,6250,,,,10600,,,,,,,,2150,5200,,,990,,,
Cikidang,,,,,,1173,1442,,,,1727,,,,,,,,1788,1525,,,1169,,,
