Kecamatan,Produksi Bawang Daun (kuintal) (Kw),Produksi Bawang Merah (kuintal) (Kw),Produksi Bawang Putih (kuintal) (Kw),Produksi Bayam (kuintal) (Kw),Produksi Buncis (kuintal) (Kw),Produksi Cabai Rawit (kuintal) (Kw),Produksi Kacang Panjang (kuintal) (Kw),Produksi Kangkung (kuintal) (Kw),Produksi Kembang Kol (kuintal) (Kw),Produksi Kentang (kuintal) (Kw),Produksi Ketimun (kuintal) (Kw),Produksi Kubis (kuintal) (Kw),Produksi Labu Siam (kuintal) (Kw),Produksi Paprika (kuintal) (Kw),Produksi Petsai/Sawi (kuintal) (Kw),Produksi Terung (kuintal) (Kw),Produksi Tomat (kuintal) (Kw),Produksi Wortel (kuintal) (Kw),Produksi Cabai Besar/TW/Teropong (kuintal) (Kw),Produksi Cabai Keriting(kuintal) (Kw),Produksi Jamur Tiram (kuintal) (Kw),Produksi Jamur Merang (kuintal) (Kw),Produksi Jamur Lainnya (kuintal) (Kw)
Ciemas,90,370,,,,14835,400,,,,10,,,,,485,304,,,60,,,
Ciracap,,,,,575,1865,700,,,,693,,,,,282,250,,,1030,,,
Waluran,,,,,300,1941,150,,,,1090,,,,,398,825,,,1188,,,
Surade,,110,,,,985,425,,,,1685,,,,,266,66,,,720,,,
Cibitung,,400,,,,477,,,,,75,,,,,10,,,,550,,,
Jampang Kulon,,,,,235,1756,580,,,,1875,,,,,450,787,,,1318,,,
Cimanggu,184,,,,277.5,136,274,,,,243,,,,,11,290,,100,151.5,,,
Kali Bunder,10,50,,100,,412,,70,,,127,,,,260,,,,,348,63.9,,
Tegal Buleud,,1150,,,,1205,,,,,,,,,,,,,1140,,,,
Cidolog,150,,,,1170,3924,580,1000,,,1415,,1160,,100,841,60,100,457.5,2687.5,,,
Sagaranten,770,,,,2450,3640,2705,1227,,,5255,,1005,,975,605,1265,,,2960,,,
Cidadap,400,,,,2635,400,3325,1670,,,4345,,4430,,290,30,1265,,,8800,364,,
Curugkembar,385,,,,1035,2592,1667.5,1175,,,2035,,3203,,545,337.5,328,,155,1105,,,
Pabuaran,765,100,,,2680,5765,3660,1980,,,8225,,2465,,225,1250,1105,850,452,7310,1360,,
Lengkong,,,,,2620,2600,3900,84,,,1600,,,,,1500,1600,,,3000,193500,,
Palabuhanratu,,,,50,,,100,200,,,200,,,,,,,,100,100,,,
Simpenan,,2003,,,,1060,310,250,,,330,,,,,,720,,410,,,,
Warung Kiara,,,,,120,1010,,,,,230,,,,,700,,,,710,,,
Bantargadung,,,,,260,940,340,110,,,440,,,,,,,,,240,,,
Jampang Tengah,2630,,,,4720,2876,9458,,,,21360,,,,8095,6280,9300,,2357,4319,,,
Purabaya,650,,,,1300,752,1109,,,,1583,,,,,222,1814,,577,1739,,,
Cikembar,600,,,,1795,2100,840,,,,2500,900,700,,1890,2035,2050,650,1300,2550,,,
Nyalindung,1115,,,,,547,,,,,,,,,,1321,832,,630,2585,,,
Geger Bitung,9750,,,,21330.5,41653,23491.5,50,,,29794,62065,6535,,49056,2923,68005,,26242,38754,,0.2,
Sukaraja,4806,,,,1065,4031,1853,,2832,,3381,4201,14324,,11206,4210,7835,8107,972,2945,,,
Kebonpedes,,750,,,,,3170,200,,,1550,,,,7240,3615,3820,,,3890,,,
Cireunghas,15,,,,165,975,5850,,,,,,,,,2650,4880,,4631,1388,,,
Sukalarang,1900,,,12,5090,5830,3700,45,,,4673,2335,1859,,4230,3710,8425,2500,4625,5960,,,
Sukabumi,4100,,,,5200,7248,,,,,6000,4500,5250,,4800,4850,6550,3050,7350,7350,,,
Kadudampit,13437.5,281,,367.4,1196.2,1774.1,,,,252,3672,14275,1332,,41422,1336,4200,2497,1187.7,2476,,,
Cisaat,,,,1299,930,2000,1510,4510,,,4950,,3050,,7730,1610,2540,,1130,220,,,
Gunungguruh,,,,,,893,358,,,,495,,,,155,,,,,530,,,
Cibadak,,,,,105,1145,132,,,,910,,,,,573,1600,,183,748,,,
Cicantayan,,,,,110,610,506,,,,595,,,,,,,,440,392,,,
Caringin,11825,,,,9200,22290,11790,2030,,,14450,15300,13300,,14850,14030,25070,12260,12550,23860,,,
Nagrak,,,,,2265,3270,3450,,,,4945,,,,1720,4500,5980,,2150,3250,,,
Ciambar,,,,,1565,2931,4216,,,,5470,,,,,4690,3070,,,1360,,,
Cicurug,,,,,6140,2900,7660,,,,8780,,,,2700,,7320,,4105,,,,
Cidahu,6600,17,,,7600,390,4750,,,,6600,,,,7400,1800,7000,,,690,6150,,
Parakan Salak,,,,,,,4440,,,,5867,,,,5440,1429,1872,,,,,,
Parung Kuda,,,,,,,2800,,,,4200,,,,6000,,,,,35,8200,,
Bojong Genteng,,,,,,,5075,,,,4673,,,,2852,3815,5143,,330,940,,,
Kalapa Nunggal,8350,,,,8500,1320,6800,,,,10200,,,,,3900,6500,,260,2350,,,
Cikidang,,,,,,3760,4550,,,,4685,,,,,5150,5400,,,2500,,,
Cisolok,,,,,,2301,,145,,,488,200,1200,,,52,1358,,,2164,,,
Cikakak,,,,,400,200,300,120,,,435,,,,,750,,,,440,,,
Kabandungan,1000,,,,3607,520,4050,,,,5100,,,,4060,2872,2295,,2960,10866,,,
Sukabumi,69532.5,5231,,1828.4,96641.2,157859.1,130975,14866,2832,252,187229,103776,59813,,183241,85488.5,201724,30014,76794.2,156579,209637.9,0.2,
,,,,,,,,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,,,,,,,,
Angka tetap,,,,,,,,,,,,,,,,,,,,,,,
